"","estimate","X2.5.","X97.5.","margpp","beta"
"FOXD3",0,0,0,1.17789945206576e-05,0
"FOXE1",0,0,0,4.59090705513436e-05,0
"FOXF2",0,0,0,9.54288703388409e-06,0
"FOXG1",0,0,0,4.09009094166144e-05,0
"FOXH1",0,0,0,4.69671338999901e-05,0
"FOXI1",0,0,0,9.70886650580559e-05,0
"FOXK1",0.153123978734118,0,0.324012277987835,0.660260862527621,0.151539806921973
"FOXK2",0.000435663461040489,0,0,0.00957638847045891,0.000185968606153532
"FOXL1",5.92711616319344e-06,0,0,2.11059428597573e-05,0
"FOXN3",0.000710321994403714,0,0,0.00740932962361456,0.00066721737489573
"FOXO4",0,0,0,1.11320957929387e-05,0
"FOXO6",-0.0473969634228588,-0.196853667937426,0,0.430478481464819,-0.0466414348383008
"FOXP1",0,0,0,9.35668969079734e-06,0
"FOXP2",0,0,0,6.40964827526377e-05,0
"FOXP3",0,0,0,0.000280800034158518,0
"FOXP4",0,0,0,4.24520966016653e-05,0
"FOXS1",0,0,0,4.66089537884545e-06,0
"GABPA",0,0,0,1.7842176559721e-05,0
"GATA1",0,0,0,7.80359092526695e-05,0
"GATA2",0,0,0,0.000426647135110316,0
"GATA4",0,0,0,2.9374910315911e-06,0
"GATA5",0,0,0,2.55617013684316e-06,0
"GATA6",0,0,0,9.63917761191463e-06,0
"GBX1",0,0,0,3.11015741374812e-06,0
"GBX2",0,0,0,4.46444375350739e-06,0
"GCM1",0,0,0,6.93357210122246e-06,0
"GCM2",0,0,0,0.000266567923751682,0
"GFI1",0,0,0,0.000105191918478261,0
"GLI3",0,0,0,1.06815099176464e-05,0
"GLIS1",0,0,0,8.08079394619245e-06,0
"GLIS2",0,0,0,1.63240603111563e-05,0
"GLIS3",0,0,0,1.42171091329613e-05,0
"GMEB2",0,0,0,7.33215458447459e-05,0
"GRHL1",0,0,0,7.66070536284121e-05,0
"GRHL2",0,0,0,0.000145917563594582,0
"GSC",0,0,0,0.000267310677799294,0
"GSC2",0,0,0,0.000934337227929743,0
"GSX1",0,0,0,2.59105336980879e-05,0
"GSX2",0,0,0,2.47168010904032e-06,0
"HAND2",0,0,0,5.96798009960052e-06,0
"HES1",-0.000279569436461244,0,0,0.00740714688992546,-0.000239054861934475
"HES2",0,0,0,3.02149720160787e-05,0
"HES5",0,0,0,1.62512173682746e-05,0
"HES6",0,0,0,9.65209899954603e-05,0
"HES7",7.40727985577293e-05,0,0,0.00354484935606692,0
"HESX1",0,0,0,1.01542602988979e-05,0
"HEY1",0,0,0,6.68133640092303e-06,0
"HEY2",0,0,0,3.51035466425898e-05,0
"HIC2",0.00145684568154166,0,0,0.0219078445961047,0.000687590787896539
"HIF1A",0,0,0,1.07944476901306e-05,0
"HINFP",0,0,0,0.000135971313953119,0
"HLF",0,0,0,7.01857200673875e-06,0
"HMBOX1",0,0,0,5.22626359227229e-05,0
"HNF1A",0.000127039299927728,0,0,0.00155786542600096,0
"HNF1B",0,0,0,9.78784411144356e-06,0
"HNF4A",4.18832475624431e-05,0,0,0.000534290592776928,0
"HNF4G",0,0,0,0.000153631158499636,0
"HOXA1",1.35223710392586e-05,0,0,0.00155681196591532,0
"HOXA10",0,0,0,0.00016285915237838,0
"HOXA2",0,0,0,8.34071691943332e-06,0
"HOXA3",0,0,0,3.8713769190801e-06,0
"HOXA4",0,0,0,2.57129513707968e-06,0
"HOXA5",0,0,0,4.04831591214946e-05,0
"HOXA6",0,0,0,8.1170023248514e-06,0
"HOXA7",0,0,0,3.27483165606305e-05,0
"HOXA9",0,0,0,8.10447592408876e-05,0
"HOXB1",0,0,0,3.45588780810974e-06,0
"HOXB13",0,0,0,1.48104668516491e-05,0
"HOXB2",0,0,0,2.84479519991325e-06,0
"HOXB3",0,0,0,3.93174800103343e-05,0
"HOXB4",0,0,0,2.09808041405702e-05,0
"HOXB5",0,0,0,5.81609449893463e-06,0
"HOXB6",0,0,0,3.66105207489233e-06,0
"HOXB7",0,0,0,1.04864315547163e-05,0
"HOXB8",0,0,0,4.61874698924609e-06,0
"HOXB9",0,0,0,3.71742056332216e-06,0
"HOXC10",0,0,0,2.95214347468457e-06,0
"HOXC11",0,0,0,3.17793469416989e-06,0
"HOXC12",0,0,0,7.55661105803457e-06,0
"HOXC13",0,0,0,7.79963256688437e-06,0
